Mode,Purpose,BaseModeShare,FreePTModeShare
Car,HBW,45,16
Bus,HBW,21,39
Rail,HBW,21,39
Cycle,HBW,12,5
Walk,HBW,1,0
Car,HBED,31,14
Bus,HBED,29,40
Rail,HBED,29,40
Cycle,HBED,11,5
Walk,HBED,1,0
Car,HBEB,39,19
Bus,HBEB,24,37
Rail,HBEB,24,37
Cycle,HBEB,12,6
Walk,HBEB,1,1
Car,HBO,32,15
Bus,HBO,28,40
Rail,HBO,28,40
Cycle,HBO,11,5
Walk,HBO,1,0
Car,NHBEB,40,15
Bus,NHBEB,24,41
Rail,NHBEB,24,41
Cycle,NHBEB,10,4
Walk,NHBEB,1,0
Car,NHBO,31,13
Bus,NHBO,29,41
Rail,NHBO,29,41
Cycle,NHBO,9,4
Walk,NHBO,1,1
Car,All,36,14
Bus,All,28,41
Rail,All,29,43
Cycle,All,11,5
Walk,All,1,0
